date,buys,total,officer_buys,officer_total,buy_share,officer_buy_share
2019-02-13,2,2,2.0,2.0,1.0,1.0
2019-02-22,1,1,1.0,1.0,1.0,1.0
2019-03-06,18,18,18.0,18.0,1.0,1.0
2019-03-07,1,1,1.0,1.0,1.0,1.0
2019-03-12,3,3,3.0,3.0,1.0,1.0
2019-03-21,0,2,,,0.0,
2019-03-22,1,1,1.0,1.0,1.0,1.0
2019-03-25,0,2,0.0,2.0,0.0,0.0
2019-03-29,1,1,1.0,1.0,1.0,1.0
2019-04-05,2,2,,,1.0,
2019-04-08,0,6,,,0.0,
2019-04-09,0,14,,,0.0,
2019-04-12,0,1,,,0.0,
2019-04-15,1,1,,,1.0,
2019-04-18,1,1,,,1.0,
2019-04-25,0,1,0.0,1.0,0.0,0.0
2019-05-03,4,5,4.0,5.0,0.8,0.8
2019-05-05,18,18,18.0,18.0,1.0,1.0
2019-05-06,0,2,0.0,2.0,0.0,0.0
2019-05-24,1,1,1.0,1.0,1.0,1.0
2019-06-06,0,1,,,0.0,
2019-06-07,28,28,1.0,1.0,1.0,1.0
2019-06-10,1,1,1.0,1.0,1.0,1.0
2019-06-20,1,1,1.0,1.0,1.0,1.0
2019-07-01,0,2,0.0,2.0,0.0,0.0
2019-07-05,0,1,0.0,1.0,0.0,0.0
2019-07-08,2,5,,,0.4,
2019-07-09,0,19,,,0.0,
2019-07-10,1,1,,,1.0,
2019-07-11,0,1,0.0,1.0,0.0,0.0
2019-07-12,0,1,,,0.0,
2019-07-22,1,1,,,1.0,
2019-08-07,1,1,1.0,1.0,1.0,1.0
2019-08-08,0,2,0.0,2.0,0.0,0.0
2019-08-15,0,2,0.0,2.0,0.0,0.0
2019-08-20,1,1,1.0,1.0,1.0,1.0
2019-08-21,1,1,1.0,1.0,1.0,1.0
2019-08-22,0,1,0.0,1.0,0.0,0.0
2019-08-23,16,19,1.0,2.0,0.8421052631578947,0.5
2019-08-26,56,56,19.0,19.0,1.0,1.0
2019-08-29,1,1,1.0,1.0,1.0,1.0
2019-09-09,18,31,,,0.5806451612903226,
2019-09-10,1,1,1.0,1.0,1.0,1.0
2019-09-11,1,1,1.0,1.0,1.0,1.0
2019-09-13,0,1,0.0,1.0,0.0,0.0
2019-09-16,1,1,1.0,1.0,1.0,1.0
2019-09-17,1,1,1.0,1.0,1.0,1.0
2019-09-19,1,1,1.0,1.0,1.0,1.0
2019-09-26,0,1,,,0.0,
2019-10-07,1,1,,,1.0,
2019-10-08,0,4,,,0.0,
2019-10-09,0,6,,,0.0,
2019-10-11,0,1,0.0,1.0,0.0,0.0
2019-10-17,1,1,1.0,1.0,1.0,1.0
2019-10-21,1,1,,,1.0,
2019-11-01,0,1,,,0.0,
2019-11-04,0,1,,,0.0,
2019-11-05,2,2,1.0,1.0,1.0,1.0
2019-11-07,0,2,0.0,2.0,0.0,0.0
2019-11-18,1,1,1.0,1.0,1.0,1.0
2019-11-19,0,1,0.0,1.0,0.0,0.0
2019-11-20,3,3,3.0,3.0,1.0,1.0
2019-11-26,1,1,1.0,1.0,1.0,1.0
2019-12-09,2,2,2.0,2.0,1.0,1.0
2019-12-16,0,1,0.0,1.0,0.0,0.0
2019-12-17,1,1,1.0,1.0,1.0,1.0
2019-12-19,0,1,0.0,1.0,0.0,0.0
2020-01-13,0,2,0.0,2.0,0.0,0.0
2020-01-14,1,1,,,1.0,
2020-01-16,1,1,1.0,1.0,1.0,1.0
2020-01-21,1,1,1.0,1.0,1.0,1.0
2020-01-22,2,2,2.0,2.0,1.0,1.0
2020-01-28,1,1,,,1.0,
2020-02-03,0,3,0.0,1.0,0.0,0.0
2020-02-05,0,1,0.0,1.0,0.0,0.0
2020-02-11,1,1,,,1.0,
2020-02-20,1,1,1.0,1.0,1.0,1.0
2020-02-24,1,1,1.0,1.0,1.0,1.0
2020-02-25,1,1,1.0,1.0,1.0,1.0
2020-02-26,3,3,3.0,3.0,1.0,1.0
2020-02-27,1,1,1.0,1.0,1.0,1.0
2020-02-28,2,2,2.0,2.0,1.0,1.0
2020-03-02,1,1,1.0,1.0,1.0,1.0
2020-03-03,1,1,1.0,1.0,1.0,1.0
2020-03-05,1,2,1.0,1.0,0.5,1.0
2020-03-06,1,3,,,0.3333333333333333,
2020-03-09,1,2,1.0,1.0,0.5,1.0
2020-03-10,1,2,1.0,1.0,0.5,1.0
2020-03-11,1,1,1.0,1.0,1.0,1.0
2020-03-12,0,2,,,0.0,
2020-03-13,4,6,4.0,4.0,0.6666666666666666,1.0
2020-03-16,1,1,1.0,1.0,1.0,1.0
2020-03-18,1,1,1.0,1.0,1.0,1.0
2020-03-19,0,2,0.0,1.0,0.0,0.0
2020-03-20,0,1,,,0.0,
2020-04-01,1,1,,,1.0,
2020-04-02,1,1,,,1.0,
2020-04-03,1,1,,,1.0,
2020-04-06,1,1,,,1.0,
2020-04-07,1,1,,,1.0,
2020-04-08,1,1,,,1.0,
2020-04-09,1,2,,,0.5,
2020-04-11,0,2,,,0.0,
2020-04-13,3,4,1.0,1.0,0.75,1.0
2020-04-14,3,3,2.0,2.0,1.0,1.0
2020-04-15,1,1,,,1.0,
2020-04-16,1,1,,,1.0,
2020-04-17,1,1,,,1.0,
2020-04-20,2,2,1.0,1.0,1.0,1.0
2020-04-21,1,1,,,1.0,
2020-04-22,1,1,,,1.0,
2020-04-23,2,2,1.0,1.0,1.0,1.0
2020-04-27,0,1,,,0.0,
2020-04-28,1,1,,,1.0,
2020-05-01,1,1,1.0,1.0,1.0,1.0
2020-05-04,1,1,1.0,1.0,1.0,1.0
2020-05-05,0,1,0.0,1.0,0.0,0.0
2020-05-07,1,1,1.0,1.0,1.0,1.0
2020-05-14,0,1,,,0.0,
2020-05-18,0,1,0.0,1.0,0.0,0.0
2020-05-19,1,1,1.0,1.0,1.0,1.0
2020-05-20,0,1,0.0,1.0,0.0,0.0
2020-05-21,0,1,,,0.0,
2020-05-22,1,1,1.0,1.0,1.0,1.0
2020-05-27,0,3,,,0.0,
2020-05-28,0,2,0.0,2.0,0.0,0.0
2020-05-29,0,2,0.0,2.0,0.0,0.0
2020-06-02,0,2,0.0,2.0,0.0,0.0
2020-06-04,0,1,0.0,1.0,0.0,0.0
2020-06-08,0,1,,,0.0,
2020-06-09,1,2,1.0,1.0,0.5,1.0
2020-06-10,7,15,,,0.4666666666666667,
2020-06-12,1,1,1.0,1.0,1.0,1.0
2020-06-22,1,1,1.0,1.0,1.0,1.0
2020-06-30,1,2,1.0,1.0,0.5,1.0
2020-07-06,0,2,0.0,2.0,0.0,0.0
2020-07-07,0,1,0.0,1.0,0.0,0.0
2020-07-20,1,1,,,1.0,
2020-07-23,1,1,1.0,1.0,1.0,1.0
2020-07-28,2,2,1.0,1.0,1.0,1.0
2020-07-29,1,1,,,1.0,
2020-07-30,1,1,,,1.0,
2020-07-31,2,3,1.0,2.0,0.6666666666666666,0.5
2020-08-03,3,3,2.0,2.0,1.0,1.0
2020-08-04,1,1,,,1.0,
2020-08-06,0,1,0.0,1.0,0.0,0.0
2020-08-11,2,2,1.0,1.0,1.0,1.0
2020-08-14,2,2,,,1.0,
2020-08-18,3,5,3.0,3.0,0.6,1.0
2020-08-19,0,2,0.0,2.0,0.0,0.0
2020-08-21,1,1,1.0,1.0,1.0,1.0
2020-08-27,0,15,,,0.0,
2020-08-28,1,2,,,0.5,
2020-08-31,2,2,2.0,2.0,1.0,1.0
2020-09-01,1,1,,,1.0,
2020-09-03,18,18,18.0,18.0,1.0,1.0
2020-09-08,2,2,2.0,2.0,1.0,1.0
2020-09-10,0,2,0.0,1.0,0.0,0.0
2020-09-14,1,1,1.0,1.0,1.0,1.0
2020-09-18,1,1,1.0,1.0,1.0,1.0
2020-09-29,25,25,,,1.0,
2020-09-30,3,4,1.0,1.0,0.75,1.0
2020-10-01,1,1,1.0,1.0,1.0,1.0
2020-10-09,18,20,18.0,18.0,0.9,1.0
2020-10-13,0,4,,,0.0,
2020-10-14,0,4,,,0.0,
2020-10-15,0,2,,,0.0,
2020-10-19,1,2,0.0,1.0,0.5,0.0
2020-10-20,0,6,0.0,6.0,0.0,0.0
2020-10-22,1,1,1.0,1.0,1.0,1.0
2020-10-26,3,3,3.0,3.0,1.0,1.0
2020-10-27,0,1,0.0,1.0,0.0,0.0
2020-10-28,1,1,1.0,1.0,1.0,1.0
2020-10-29,0,1,0.0,1.0,0.0,0.0
2020-11-01,0,2,,,0.0,
2020-11-03,0,1,0.0,1.0,0.0,0.0
2020-11-05,0,1,0.0,1.0,0.0,0.0
2020-11-06,0,5,0.0,1.0,0.0,0.0
2020-11-10,0,3,,,0.0,
2020-11-11,0,2,0.0,2.0,0.0,0.0
2020-11-12,0,1,,,0.0,
2020-11-13,0,8,0.0,2.0,0.0,0.0
2020-11-16,0,1,0.0,1.0,0.0,0.0
2020-11-17,0,1,0.0,1.0,0.0,0.0
2020-11-19,0,1,0.0,1.0,0.0,0.0
2020-11-20,1,2,1.0,2.0,0.5,0.5
2020-11-23,2,2,2.0,2.0,1.0,1.0
2020-11-24,0,1,,,0.0,
2020-11-25,1,2,1.0,1.0,0.5,1.0
2020-11-30,0,1,,,0.0,
2020-12-01,1,2,0.0,1.0,0.5,0.0
2020-12-02,0,1,0.0,1.0,0.0,0.0
2020-12-03,0,1,0.0,1.0,0.0,0.0
2020-12-04,0,1,,,0.0,
2020-12-07,1,2,1.0,1.0,0.5,1.0
2020-12-08,3,3,2.0,2.0,1.0,1.0
2020-12-09,1,1,1.0,1.0,1.0,1.0
2020-12-10,0,3,0.0,3.0,0.0,0.0
2020-12-11,1,2,1.0,2.0,0.5,0.5
2020-12-14,1,1,,,1.0,
2020-12-15,0,2,0.0,2.0,0.0,0.0
2020-12-16,0,3,,,0.0,
2020-12-17,0,3,,,0.0,
2020-12-18,1,4,1.0,3.0,0.25,0.3333333333333333
2020-12-22,1,3,1.0,3.0,0.3333333333333333,0.3333333333333333
2020-12-23,0,3,0.0,3.0,0.0,0.0
2020-12-28,0,1,0.0,1.0,0.0,0.0
2020-12-31,1,1,1.0,1.0,1.0,1.0
2021-01-04,0,1,0.0,1.0,0.0,0.0
2021-01-05,0,1,,,0.0,
2021-01-06,0,2,0.0,2.0,0.0,0.0
2021-01-07,1,1,1.0,1.0,1.0,1.0
2021-01-11,1,3,0.0,2.0,0.3333333333333333,0.0
2021-01-12,1,2,1.0,2.0,0.5,0.5
2021-01-15,1,2,1.0,1.0,0.5,1.0
2021-01-19,1,2,1.0,1.0,0.5,1.0
2021-01-25,2,3,2.0,3.0,0.6666666666666666,0.6666666666666666
2021-01-26,0,2,0.0,1.0,0.0,0.0
2021-01-27,0,1,0.0,1.0,0.0,0.0
2021-01-28,1,1,1.0,1.0,1.0,1.0
2021-02-01,0,1,0.0,1.0,0.0,0.0
2021-02-02,0,1,,,0.0,
2021-02-03,1,1,1.0,1.0,1.0,1.0
2021-02-04,0,1,,,0.0,
2021-02-05,0,2,0.0,2.0,0.0,0.0
2021-02-08,2,2,2.0,2.0,1.0,1.0
2021-02-09,0,3,0.0,3.0,0.0,0.0
2021-02-10,0,1,0.0,1.0,0.0,0.0
2021-02-11,0,2,,,0.0,
2021-02-12,0,1,,,0.0,
2021-02-16,0,1,,,0.0,
2021-02-17,3,3,3.0,3.0,1.0,1.0
2021-02-18,0,2,,,0.0,
2021-02-19,0,1,,,0.0,
2021-02-22,1,4,0.0,2.0,0.25,0.0
2021-02-23,0,1,0.0,1.0,0.0,0.0
2021-02-25,1,1,1.0,1.0,1.0,1.0
2021-02-26,1,2,1.0,2.0,0.5,0.5
2021-03-01,2,4,1.0,3.0,0.5,0.3333333333333333
2021-03-02,0,2,0.0,2.0,0.0,0.0
2021-03-03,0,1,0.0,1.0,0.0,0.0
2021-03-05,1,1,1.0,1.0,1.0,1.0
2021-03-08,1,4,0.0,1.0,0.25,0.0
2021-03-09,4,5,3.0,3.0,0.8,1.0
2021-03-10,3,5,2.0,4.0,0.6,0.5
2021-03-11,0,2,0.0,2.0,0.0,0.0
2021-03-12,2,3,1.0,2.0,0.6666666666666666,0.5
2021-03-14,1,1,1.0,1.0,1.0,1.0
2021-03-15,0,2,0.0,2.0,0.0,0.0
2021-03-16,1,3,1.0,3.0,0.3333333333333333,0.3333333333333333
2021-03-17,2,2,1.0,1.0,1.0,1.0
2021-03-19,2,2,1.0,1.0,1.0,1.0
2021-03-23,0,2,0.0,2.0,0.0,0.0
2021-03-24,1,1,,,1.0,
2021-03-25,1,1,,,1.0,
2021-03-26,1,2,1.0,1.0,0.5,1.0
2021-03-29,4,4,3.0,3.0,1.0,1.0
2021-03-30,1,1,1.0,1.0,1.0,1.0
2021-03-31,2,2,2.0,2.0,1.0,1.0
2021-04-01,0,1,,,0.0,
2021-04-05,1,2,1.0,1.0,0.5,1.0
2021-04-07,0,1,,,0.0,
2021-04-08,2,4,1.0,2.0,0.5,0.5
2021-04-09,0,1,,,0.0,
2021-04-13,4,4,3.0,3.0,1.0,1.0
2021-04-14,0,1,,,0.0,
2021-04-15,3,3,3.0,3.0,1.0,1.0
2021-04-16,1,1,1.0,1.0,1.0,1.0
2021-04-19,1,1,,,1.0,
2021-04-23,0,2,0.0,2.0,0.0,0.0
2021-04-26,0,1,,,0.0,
2021-04-29,1,3,1.0,1.0,0.3333333333333333,1.0
2021-04-30,0,2,0.0,1.0,0.0,0.0
2021-05-03,1,3,1.0,2.0,0.3333333333333333,0.5
2021-05-04,0,1,0.0,1.0,0.0,0.0
2021-05-05,0,1,0.0,1.0,0.0,0.0
2021-05-07,1,1,1.0,1.0,1.0,1.0
2021-05-10,0,1,0.0,1.0,0.0,0.0
2021-05-11,0,1,0.0,1.0,0.0,0.0
2021-05-12,1,1,1.0,1.0,1.0,1.0
2021-05-14,1,2,1.0,2.0,0.5,0.5
2021-05-17,0,2,0.0,2.0,0.0,0.0
2021-05-19,0,1,0.0,1.0,0.0,0.0
2021-05-20,0,1,,,0.0,
2021-05-21,1,3,1.0,2.0,0.3333333333333333,0.5
2021-05-24,1,1,1.0,1.0,1.0,1.0
2021-05-25,1,1,1.0,1.0,1.0,1.0
2021-05-26,2,2,2.0,2.0,1.0,1.0
2021-06-01,0,2,0.0,2.0,0.0,0.0
2021-06-02,2,5,,,0.4,
2021-06-07,0,1,0.0,1.0,0.0,0.0
2021-06-08,0,1,0.0,1.0,0.0,0.0
2021-06-09,1,4,0.0,3.0,0.25,0.0
2021-06-11,4,4,3.0,3.0,1.0,1.0
2021-06-14,1,1,,,1.0,
2021-06-15,2,3,1.0,2.0,0.6666666666666666,0.5
2021-06-16,2,2,1.0,1.0,1.0,1.0
2021-06-17,1,1,,,1.0,
2021-06-18,2,2,1.0,1.0,1.0,1.0
2021-06-21,1,1,1.0,1.0,1.0,1.0
2021-06-22,1,1,1.0,1.0,1.0,1.0
2021-06-23,1,2,1.0,2.0,0.5,0.5
2021-06-24,1,1,,,1.0,
2021-06-28,1,1,,,1.0,
2021-06-30,1,1,1.0,1.0,1.0,1.0
2021-07-01,1,2,0.0,1.0,0.5,0.0
2021-07-02,1,2,1.0,2.0,0.5,0.5
2021-07-06,1,4,0.0,1.0,0.25,0.0
2021-07-07,1,1,,,1.0,
2021-07-08,2,3,1.0,2.0,0.6666666666666666,0.5
2021-07-09,1,2,0.0,1.0,0.5,0.0
2021-07-12,1,1,,,1.0,
2021-07-14,0,1,0.0,1.0,0.0,0.0
2021-07-15,1,2,0.0,1.0,0.5,0.0
2021-07-16,2,2,2.0,2.0,1.0,1.0
2021-07-19,2,2,1.0,1.0,1.0,1.0
2021-07-20,1,1,1.0,1.0,1.0,1.0
2021-07-22,0,2,,,0.0,
2021-07-23,0,1,,,0.0,
2021-07-26,1,2,1.0,1.0,0.5,1.0
2021-07-28,0,1,0.0,1.0,0.0,0.0
2021-07-29,2,3,2.0,2.0,0.6666666666666666,1.0
2021-07-30,0,1,,,0.0,
2021-08-02,0,1,0.0,1.0,0.0,0.0
2021-08-04,1,1,1.0,1.0,1.0,1.0
2021-08-05,1,3,0.0,1.0,0.3333333333333333,0.0
2021-08-06,1,2,,,0.5,
2021-08-10,2,3,2.0,2.0,0.6666666666666666,1.0
2021-08-11,2,3,2.0,2.0,0.6666666666666666,1.0
2021-08-12,3,6,0.0,1.0,0.5,0.0
2021-08-13,2,4,0.0,1.0,0.5,0.0
2021-08-16,0,1,,,0.0,
2021-08-18,1,2,1.0,1.0,0.5,1.0
2021-08-19,1,2,1.0,2.0,0.5,0.5
2021-08-20,1,2,1.0,1.0,0.5,1.0
2021-08-23,3,3,1.0,1.0,1.0,1.0
2021-08-24,0,1,,,0.0,
2021-08-25,1,1,1.0,1.0,1.0,1.0
2021-08-26,4,4,4.0,4.0,1.0,1.0
2021-08-30,0,2,,,0.0,
2021-08-31,0,1,,,0.0,
2021-09-01,4,5,3.0,3.0,0.8,1.0
2021-09-03,1,2,,,0.5,
2021-09-07,1,2,0.0,1.0,0.5,0.0
2021-09-09,1,1,1.0,1.0,1.0,1.0
2021-09-10,4,4,4.0,4.0,1.0,1.0
2021-09-13,0,1,0.0,1.0,0.0,0.0
2021-09-14,1,2,1.0,2.0,0.5,0.5
2021-09-15,1,1,,,1.0,
2021-09-16,2,2,2.0,2.0,1.0,1.0
2021-09-17,2,3,2.0,3.0,0.6666666666666666,0.6666666666666666
2021-09-21,2,2,,,1.0,
2021-09-23,0,1,,,0.0,
2021-09-27,0,4,0.0,2.0,0.0,0.0
2021-09-28,0,1,0.0,1.0,0.0,0.0
2021-09-29,0,2,0.0,1.0,0.0,0.0
2021-09-30,1,2,1.0,1.0,0.5,1.0
2021-10-01,7,15,1.0,1.0,0.4666666666666667,1.0
2021-10-05,2,4,2.0,3.0,0.5,0.6666666666666666
2021-10-06,0,1,0.0,1.0,0.0,0.0
2021-10-07,1,4,1.0,1.0,0.25,1.0
2021-10-08,0,2,,,0.0,
2021-10-11,1,1,1.0,1.0,1.0,1.0
2021-10-12,0,1,,,0.0,
2021-10-13,1,1,1.0,1.0,1.0,1.0
2021-10-14,1,1,1.0,1.0,1.0,1.0
2021-10-15,2,3,2.0,2.0,0.6666666666666666,1.0
2021-10-18,1,1,1.0,1.0,1.0,1.0
2021-10-19,0,1,0.0,1.0,0.0,0.0
2021-10-25,1,3,0.0,1.0,0.3333333333333333,0.0
2021-10-26,0,5,0.0,2.0,0.0,0.0
2021-10-28,2,2,2.0,2.0,1.0,1.0
2021-10-29,2,2,2.0,2.0,1.0,1.0
2021-11-01,2,4,2.0,4.0,0.5,0.5
2021-11-02,3,3,3.0,3.0,1.0,1.0
